case	id	sex	deg	yrdeg	field	startyr	year	rank	admin	salary	salary_increment
6370	576	M	PhD	66	Other	68	91	Full	0	5794	489
6371	576	M	PhD	66	Other	68	92	Full	0	5962	168
6372	576	M	PhD	66	Other	68	93	Full	0	6313	351
6373	576	M	PhD	66	Other	68	94	Full	0	6313	0
6374	576	M	PhD	66	Other	68	95	Full	1	6590	277
6375	577	F	PhD	79	Other	89	89	Assoc	0	3592	NA
6376	577	F	PhD	79	Other	89	90	Assoc	0	3814	222
6377	577	F	PhD	79	Other	89	91	Assoc	0	4048	234
6378	577	F	PhD	79	Other	89	92	Assoc	0	4286	238
6379	577	F	PhD	79	Other	89	93	Assoc	0	4538	252
6380	577	F	PhD	79	Other	89	94	Assoc	0	4538	0
6381	577	F	PhD	79	Other	89	95	Assoc	0	4737	199
6382	578	M	PhD	76	Other	83	83	Assist	0	2184	NA
6383	578	M	PhD	76	Other	83	84	Assist	0	2504	320
6384	578	M	PhD	76	Other	83	85	Assist	0	2504	0
6385	578	M	PhD	76	Other	83	86	Assoc	0	2976	472
6386	578	M	PhD	76	Other	83	87	Assoc	0	3126	150
6387	578	M	PhD	76	Other	83	88	Assoc	0	3217	91
6388	578	M	PhD	76	Other	83	89	Assoc	0	3749	532
6389	578	M	PhD	76	Other	83	90	Assoc	0	3924	175
6390	578	M	PhD	76	Other	83	91	Assoc	0	4348	424
6391	578	M	PhD	76	Other	83	92	Assoc	0	4604	256
6392	578	M	PhD	76	Other	83	93	Assoc	0	4875	271
6393	578	M	PhD	76	Other	83	94	Assoc	0	4875	0
6394	578	M	PhD	76	Other	83	95	Assoc	1	5472	597
6395	579	M	PhD	87	Other	90	90	Assist	0	4220	NA
6396	579	M	PhD	87	Other	90	91	Assist	0	4292	72
6397	579	M	PhD	87	Other	90	92	Assist	0	4416	124
6398	579	M	PhD	87	Other	90	93	Assist	0	4544	128
6399	579	M	PhD	87	Other	90	94	Assoc	0	4676	132
6400	579	M	PhD	87	Other	90	95	Assoc	0	4951	275
6401	580	M	PhD	77	Prof	86	86	Assoc	0	5431	NA
6402	580	M	PhD	77	Prof	86	87	Assoc	0	5703	272
6403	580	M	PhD	77	Prof	86	88	Assoc	0	5953	250
6404	580	M	PhD	77	Prof	86	89	Full	0	6649	696
6405	580	M	PhD	77	Prof	86	90	Full	0	7475	826
6406	580	M	PhD	77	Prof	86	91	Full	0	7823	348
6407	580	M	PhD	77	Prof	86	92	Full	0	8165	342
6408	580	M	PhD	77	Prof	86	93	Full	0	8402	237
6409	580	M	PhD	77	Prof	86	94	Full	0	8402	0
6410	580	M	PhD	77	Prof	86	95	Full	0	8646	244
6411	581	M	PhD	79	Other	83	83	Assist	0	2826	NA
6412	581	M	PhD	79	Other	83	84	Assist	0	3020	194
6413	581	M	PhD	79	Other	83	85	Assist	0	3020	0
6414	581	M	PhD	79	Other	83	86	Assist	0	3487	467
6415	581	M	PhD	79	Other	83	87	Assist	0	3662	175
6416	581	M	PhD	79	Other	83	88	Assoc	0	3877	215
6417	581	M	PhD	79	Other	83	89	Assoc	0	4208	331
6418	581	M	PhD	79	Other	83	90	Assoc	0	4468	260
6419	581	M	PhD	79	Other	83	91	Assoc	0	4951	483
6420	581	M	PhD	79	Other	83	92	Full	0	5318	367
6421	581	M	PhD	79	Other	83	93	Full	0	5472	154
6422	581	M	PhD	79	Other	83	94	Full	0	5472	0
6423	581	M	PhD	79	Other	83	95	Full	0	5712	240
6424	582	M	PhD	74	Other	81	81	Full	0	4421	NA
6425	582	M	PhD	74	Other	81	82	Full	0	4681	260
6426	582	M	PhD	74	Other	81	83	Full	1	5229	548
6427	582	M	PhD	74	Other	81	84	Full	1	5828	599
6428	582	M	PhD	74	Other	81	85	Full	1	5828	0
6429	582	M	PhD	74	Other	81	86	Full	1	7682	1854
6430	582	M	PhD	74	Other	81	87	Full	1	8050	368
6431	582	M	PhD	74	Other	81	88	Full	1	8388	338
6432	582	M	PhD	74	Other	81	89	Full	1	9199	811
6433	582	M	PhD	74	Other	81	90	Full	1	9263	64
6434	582	M	PhD	74	Other	81	91	Full	1	10118	855
6435	582	M	PhD	74	Other	81	92	Full	0	10867	749
6436	582	M	PhD	74	Other	81	93	Full	0	11343	476
6437	582	M	PhD	74	Other	81	94	Full	0	11343	0
6438	582	M	PhD	74	Other	81	95	Full	0	11702	359
6439	583	M	PhD	86	Prof	86	86	Assist	0	4383	NA
6440	583	M	PhD	86	Prof	86	87	Assist	0	4603	220
6441	583	M	PhD	86	Prof	86	88	Assist	0	4603	0
6442	583	M	PhD	86	Prof	86	89	Assist	0	4925	322
6443	583	M	PhD	86	Prof	86	90	Assist	0	5537	612
6444	583	M	PhD	86	Prof	86	91	Assist	0	5794	257
6445	583	M	PhD	86	Prof	86	92	Assoc	0	6223	429
6446	583	M	PhD	86	Prof	86	93	Assoc	0	6404	181
6447	583	M	PhD	86	Prof	86	94	Assoc	0	6404	0
6448	583	M	PhD	86	Prof	86	95	Assoc	0	6781	377
6449	584	F	PhD	90	Other	92	92	Assist	0	3715	NA
6450	584	F	PhD	90	Other	92	93	Assist	0	3715	0
6451	584	F	PhD	90	Other	92	94	Assist	0	3715	0
6452	584	F	PhD	90	Other	92	95	Assist	0	3769	54
6453	585	M	PhD	69	Other	73	76	Assoc	0	1910	NA
6454	585	M	PhD	69	Other	73	77	Assoc	0	2176	266
6455	585	M	PhD	69	Other	73	78	Assoc	0	2337	161
6456	585	M	PhD	69	Other	73	79	Full	0	2658.209	321.209
6457	585	M	PhD	69	Other	73	80	Full	0	2949.254	291.045
6458	585	M	PhD	69	Other	73	81	Full	0	3322	372.746
6459	585	M	PhD	69	Other	73	82	Full	0	4057	735
6460	585	M	PhD	69	Other	73	83	Full	0	4468	411
6461	585	M	PhD	69	Other	73	84	Full	0	5052	584
6462	585	M	PhD	69	Other	73	85	Full	0	5052	0
6463	585	M	PhD	69	Other	73	86	Full	0	5833	781
6464	585	M	PhD	69	Other	73	87	Full	0	7377	1544
6465	585	M	PhD	69	Other	73	88	Full	0	7483	106
6466	585	M	PhD	69	Other	73	89	Full	0	9237	1754
6467	585	M	PhD	69	Other	73	90	Full	0	9396	159
6468	585	M	PhD	69	Other	73	91	Full	0	9693	297
6469	585	M	PhD	69	Other	73	92	Full	0	10867	1174
6470	585	M	PhD	69	Other	73	93	Full	0	11182	315
6471	585	M	PhD	69	Other	73	94	Full	0	11182	0
6472	585	M	PhD	69	Other	73	95	Full	0	11184	2
6473	586	F	PhD	91	Other	94	94	Assist	0	4353	NA
6474	586	F	PhD	91	Other	94	95	Assist	0	4544	191
6475	587	M	PhD	80	Other	82	82	Assoc	1	4880	NA
6476	587	M	PhD	80	Other	82	83	Assoc	1	5149	269
6477	587	M	PhD	80	Other	82	84	Assoc	1	5656	507
6478	587	M	PhD	80	Other	82	85	Assoc	1	5656	0
6479	587	M	PhD	80	Other	82	86	Assoc	1	6169	513
6480	587	M	PhD	80	Other	82	87	Assoc	1	6169	0
6481	587	M	PhD	80	Other	82	88	Assoc	0	6668	499
6482	587	M	PhD	80	Other	82	89	Assoc	0	6932	264
6483	587	M	PhD	80	Other	82	90	Assoc	0	7051	119
6484	587	M	PhD	80	Other	82	91	Assoc	0	7171	120
6485	587	M	PhD	80	Other	82	92	Assoc	0	7171	0
6486	587	M	PhD	80	Other	82	93	Assoc	0	7171	0
6487	587	M	PhD	80	Other	82	94	Assoc	0	7171	0
6488	587	M	PhD	80	Other	82	95	Assoc	0	7379	208
6489	588	F	PhD	91	Arts	93	93	Assist	0	3667	NA
6490	588	F	PhD	91	Arts	93	94	Assist	0	3667	0
6491	588	F	PhD	91	Arts	93	95	Assist	0	3828	161
6492	589	F	PhD	90	Other	91	91	Assist	0	3129.545	NA
6493	589	F	PhD	90	Other	91	92	Assist	0	3221	91.4549999999999
6494	589	F	PhD	90	Other	91	93	Assist	0	3267	46
6495	589	F	PhD	90	Other	91	94	Assist	0	3267	0
6496	589	F	PhD	90	Other	91	95	Assist	0	3459	192
6497	590	M	PhD	71	Other	76	76	Assoc	1	3014	NA
6498	590	M	PhD	71	Other	76	77	Full	1	3405.333	391.333
6499	590	M	PhD	71	Other	76	78	Full	1	3576	170.667
6500	590	M	PhD	71	Other	76	79	Full	1	3954	378
6501	590	M	PhD	71	Other	76	80	Full	1	4255	301
6502	590	M	PhD	71	Other	76	95	Full	1	10105	5850
6503	591	M	PhD	83	Other	87	87	Assist	0	5588	NA
6504	591	M	PhD	83	Other	87	88	Assist	0	5588	0
6505	591	M	PhD	83	Other	87	89	Assist	0	6190	602
6506	591	M	PhD	83	Other	87	90	Assoc	0	6861	671
6507	591	M	PhD	83	Other	87	91	Assoc	0	7494	633
6508	591	M	PhD	83	Other	87	92	Assoc	0	7935	441
6509	591	M	PhD	83	Other	87	93	Assoc	0	8523	588
6510	591	M	PhD	83	Other	87	94	Assoc	0	8523	0
6511	591	M	PhD	83	Other	87	95	Assoc	0	8895	372
6512	592	F	PhD	94	Other	94	94	Assist	0	4416	NA
6513	592	F	PhD	94	Other	94	95	Assist	0	4544	128
6514	593	M	PhD	84	Prof	86	86	Assist	0	4023	NA
6515	593	M	PhD	84	Prof	86	87	Assist	0	4225	202
6516	593	M	PhD	84	Prof	86	88	Assist	0	4473	248
6517	593	M	PhD	84	Prof	86	89	Assist	0	4786	313
6518	593	M	PhD	84	Prof	86	90	Assist	0	5305	519
6519	593	M	PhD	84	Prof	86	91	Assist	0	5712	407
6520	593	M	PhD	84	Prof	86	92	Assist	0	5962	250
6521	593	M	PhD	84	Prof	86	93	Assoc	0	6404	442
6522	593	M	PhD	84	Prof	86	94	Assoc	0	6404	0
6523	593	M	PhD	84	Prof	86	95	Assoc	0	6590	186
6524	594	M	PhD	70	Other	76	76	Assoc	0	1773	NA
6525	594	M	PhD	70	Other	76	77	Assoc	0	2019	246
6526	594	M	PhD	70	Other	76	78	Assoc	0	2216	197
6527	594	M	PhD	70	Other	76	79	Assoc	0	2583	367
6528	594	M	PhD	70	Other	76	80	Assoc	0	2824	241
6529	594	M	PhD	70	Other	76	81	Assoc	0	3048	224
6530	594	M	PhD	70	Other	76	82	Assoc	0	3137	89
6531	594	M	PhD	70	Other	76	83	Assoc	0	3310	173
6532	594	M	PhD	70	Other	76	84	Assoc	0	3484	174
6533	594	M	PhD	70	Other	76	85	Assoc	0	3484	0
6534	594	M	PhD	70	Other	76	86	Assoc	0	3588	104
6535	594	M	PhD	70	Other	76	87	Assoc	0	3768	180
6536	594	M	PhD	70	Other	76	88	Assoc	0	3822	54
6537	594	M	PhD	70	Other	76	89	Assoc	0	4090	268
6538	594	M	PhD	70	Other	76	90	Full	0	4405	315
6539	594	M	PhD	70	Other	76	91	Full	0	4951	546
6540	594	M	PhD	70	Other	76	92	Full	0	5022	71
6541	594	M	PhD	70	Other	76	93	Full	0	5095	73
6542	594	M	PhD	70	Other	76	94	Full	0	5095	0
6543	594	M	PhD	70	Other	76	95	Full	0	5168	73
6544	595	M	PhD	68	Other	70	76	Assoc	0	1743	NA
6545	595	M	PhD	68	Other	70	77	Assoc	0	1942	199
6546	595	M	PhD	68	Other	70	78	Assoc	0	2097	155
6547	595	M	PhD	68	Other	70	79	Assoc	0	2369	272
6548	595	M	PhD	68	Other	70	80	Assoc	0	2552	183
6549	595	M	PhD	68	Other	70	81	Assoc	0	2798	246
6550	595	M	PhD	68	Other	70	82	Assoc	0	2798	0
6551	595	M	PhD	68	Other	70	83	Assoc	0	3037	239
6552	595	M	PhD	68	Other	70	84	Full	0	3386	349
6553	595	M	PhD	68	Other	70	85	Full	0	3386	0
6554	595	M	PhD	68	Other	70	86	Full	0	3854	468
6555	595	M	PhD	68	Other	70	87	Full	0	4047	193
6556	595	M	PhD	68	Other	70	88	Full	0	4225	178
6557	595	M	PhD	68	Other	70	89	Full	0	4718	493
6558	595	M	PhD	68	Other	70	90	Full	0	4939	221
6559	595	M	PhD	68	Other	70	91	Full	0	5318	379
6560	595	M	PhD	68	Other	70	92	Full	0	5551	233
6561	595	M	PhD	68	Other	70	93	Full	0	5712	161
6562	595	M	PhD	68	Other	70	94	Full	0	5712	0
6563	595	M	PhD	68	Other	70	95	Full	0	6135	423
6564	596	M	PhD	85	Other	91	91	Assist	0	4416	NA
6565	596	M	PhD	85	Other	91	92	Assist	0	4416	0
6566	596	M	PhD	85	Other	91	93	Assist	0	4544	128
6567	596	M	PhD	85	Other	91	94	Assist	0	4544	0
6568	596	M	PhD	85	Other	91	95	Assist	0	4676	132
6569	597	F	PhD	86	Other	86	86	Assist	0	2851	NA
6570	597	F	PhD	86	Other	86	87	Assist	0	2995	144
6571	597	F	PhD	86	Other	86	88	Assist	0	3082	87
6572	597	F	PhD	86	Other	86	89	Assist	0	3296	214
6573	597	F	PhD	86	Other	86	90	Assist	0	3450	154
6574	597	F	PhD	86	Other	86	91	Assist	0	3559	109
6575	597	F	PhD	86	Other	86	92	Assist	0	3663	104
6576	597	F	PhD	86	Other	86	93	Assoc	0	3878	215
6577	597	F	PhD	86	Other	86	94	Assoc	0	3878	0
6578	597	F	PhD	86	Other	86	95	Assoc	0	4106	228
6579	598	M	PhD	71	Other	74	76	Assist	0	1839	NA
6580	598	M	PhD	71	Other	74	77	Assist	0	2019	180
6581	598	M	PhD	71	Other	74	78	Assist	0	2136	117
6582	598	M	PhD	71	Other	74	79	Assoc	0	2411	275
6583	598	M	PhD	71	Other	74	80	Assoc	0	2597	186
6584	598	M	PhD	71	Other	74	81	Assoc	0	2879	282
6585	598	M	PhD	71	Other	74	82	Assoc	0	3034.848	155.848
6586	598	M	PhD	71	Other	74	83	Assoc	0	3170	135.152
6587	598	M	PhD	71	Other	74	84	Assoc	0	3434	264
6588	598	M	PhD	71	Other	74	85	Assoc	0	3434	0
6589	598	M	PhD	71	Other	74	86	Assoc	0	3745	311
6590	598	M	PhD	71	Other	74	87	Assoc	0	3933	188
6591	598	M	PhD	71	Other	74	88	Assoc	0	4047	114
6592	598	M	PhD	71	Other	74	89	Assoc	0	4330	283
6593	598	M	PhD	71	Other	74	90	Assoc	0	4533	203
6594	598	M	PhD	71	Other	74	91	Assoc	0	4676	143
6595	598	M	PhD	71	Other	74	92	Assoc	0	4812	136
6596	598	M	PhD	71	Other	74	93	Assoc	0	4881	69
6597	598	M	PhD	71	Other	74	94	Assoc	0	4881	0
6598	598	M	PhD	71	Other	74	95	Assoc	0	5095	214
6599	599	M	PhD	94	Other	93	93	Assist	0	7667	NA
6600	599	M	PhD	94	Other	93	94	Assist	0	7667	0
6601	599	M	PhD	94	Other	93	95	Assist	0	7919	252
6602	600	M	PhD	77	Other	77	77	Assist	0	1466	NA
6603	600	M	PhD	77	Other	77	78	Assist	0	1608	142
6604	600	M	PhD	77	Other	77	79	Assist	0	1842	234
6605	600	M	PhD	77	Other	77	80	Assist	0	2290	448
6606	600	M	PhD	77	Other	77	81	Assist	0	2532	242
6607	600	M	PhD	77	Other	77	82	Assoc	0	2719	187
6608	600	M	PhD	77	Other	77	83	Assoc	0	2910	191
6609	600	M	PhD	77	Other	77	84	Assoc	0	3197	287
6610	600	M	PhD	77	Other	77	85	Assoc	0	3197	0
6611	600	M	PhD	77	Other	77	86	Full	0	3966	769
6612	600	M	PhD	77	Other	77	87	Full	0	4165	199
6613	600	M	PhD	77	Other	77	88	Full	0	4285	120
6614	600	M	PhD	77	Other	77	89	Full	0	4585	300
6615	600	M	PhD	77	Other	77	90	Full	0	4800	215
6616	600	M	PhD	77	Other	77	91	Full	0	5022	222
6617	600	M	PhD	77	Other	77	92	Full	0	5168	146
6618	600	M	PhD	77	Other	77	93	Full	0	5318	150
6619	600	M	PhD	77	Other	77	94	Full	0	5318	0
6620	600	M	PhD	77	Other	77	95	Full	0	5394	76
6621	601	F	PhD	86	Other	86	86	Assist	0	4708	NA
6622	601	F	PhD	86	Other	86	87	Assist	0	4944	236
6623	601	F	PhD	86	Other	86	88	Assist	0	5387	443
6624	601	F	PhD	86	Other	86	89	Assist	0	5846	459
6625	601	F	PhD	86	Other	86	90	Assist	0	6120	274
6626	601	F	PhD	86	Other	86	91	Assist	0	6781	661
6627	601	F	PhD	86	Other	86	92	Assist	0	6977	196
6628	601	F	PhD	86	Other	86	93	Assoc	0	7494	517
6629	601	F	PhD	86	Other	86	94	Assoc	0	7494	0
6630	601	F	PhD	86	Other	86	95	Assoc	0	7919	425
6631	602	M	PhD	88	Prof	90	90	Assist	0	5010	NA
6632	602	M	PhD	88	Prof	90	91	Assist	0	5095	85
6633	602	M	PhD	88	Prof	90	92	Assist	0	5318	223
6634	602	M	PhD	88	Prof	90	93	Assist	0	5631	313
6635	602	M	PhD	88	Prof	90	94	Assist	0	5631	0
6636	602	M	PhD	88	Prof	90	95	Assist	0	5794	163
6637	603	M	PhD	94	Other	94	94	Assist	0	4544	NA
6638	603	M	PhD	94	Other	94	95	Assist	0	4676	132
6639	604	M	PhD	61	Other	61	76	Full	0	4257	NA
6640	604	M	PhD	61	Other	61	77	Full	0	4500	243
6641	604	M	PhD	61	Other	61	78	Full	0	4680	180
6642	604	M	PhD	61	Other	61	79	Full	0	5154	474
6643	604	M	PhD	61	Other	61	80	Full	0	5463	309
6644	604	M	PhD	61	Other	61	81	Full	0	5853.731	390.731
6645	604	M	PhD	61	Other	61	82	Full	0	5883	29.2690000000002
6646	604	M	PhD	61	Other	61	83	Full	0	6207	324
6647	604	M	PhD	61	Other	61	84	Full	0	6350	143
6648	604	M	PhD	61	Other	61	85	Full	0	6723	373
6649	604	M	PhD	61	Other	61	86	Full	0	6925	202
6650	604	M	PhD	61	Other	61	87	Full	0	7272	347
6651	604	M	PhD	61	Other	61	88	Full	0	7272	0
6652	604	M	PhD	61	Other	61	89	Full	0	7562	290
6653	604	M	PhD	61	Other	61	90	Full	0	7803	241
6654	604	M	PhD	61	Other	61	91	Full	0	8283	480
6655	604	M	PhD	61	Other	61	92	Full	0	8523	240
6656	604	M	PhD	61	Other	61	93	Full	0	8770	247
6657	604	M	PhD	61	Other	61	94	Full	0	8770	0
6658	604	M	PhD	61	Other	61	95	Full	0	9025	255
6659	605	F	PhD	74	Prof	86	86	Assoc	0	5509	NA
6660	605	F	PhD	74	Prof	86	87	Assoc	0	5786	277
6661	605	F	PhD	74	Prof	86	88	Assoc	0	5953	167
6662	605	F	PhD	74	Prof	86	89	Full	0	6555	602
6663	605	F	PhD	74	Prof	86	90	Full	0	7692	1137
6664	605	F	PhD	74	Prof	86	91	Full	0	7935	243
6665	605	F	PhD	74	Prof	86	92	Full	0	8165	230
6666	605	F	PhD	74	Prof	86	93	Full	0	8402	237
6667	605	F	PhD	74	Prof	86	94	Full	0	8402	0
6668	605	F	PhD	74	Prof	86	95	Full	0	8523	121
6669	606	M	PhD	82	Prof	92	92	Assist	0	6111	NA
6670	606	M	PhD	82	Prof	92	93	Assist	0	6135	24
6671	606	M	PhD	82	Prof	92	94	Assist	0	6135	0
6672	606	M	PhD	82	Prof	92	95	Assist	0	6404	269
6673	607	M	PhD	70	Other	72	76	Assoc	0	2506	NA
6674	607	M	PhD	70	Other	72	77	Assoc	0	2786.567	280.567
6675	607	M	PhD	70	Other	72	78	Assoc	0	2925	138.433
6676	607	M	PhD	70	Other	72	80	Full	0	3498	573
6677	607	M	PhD	70	Other	72	81	Full	0	3887	389
6678	607	M	PhD	70	Other	72	82	Full	0	4116	229
6679	607	M	PhD	70	Other	72	83	Full	0	4798	682
6680	607	M	PhD	70	Other	72	84	Full	0	5349	551
6681	607	M	PhD	70	Other	72	85	Full	0	5349	0
6682	607	M	PhD	70	Other	72	86	Full	0	5833	484
6683	607	M	PhD	70	Other	72	87	Full	0	6126	293
6684	607	M	PhD	70	Other	72	88	Full	0	6126	0
6685	607	M	PhD	70	Other	72	89	Full	0	6462	336
6686	607	M	PhD	70	Other	72	90	Full	0	6764	302
6687	607	M	PhD	70	Other	72	91	Full	0	7078	314
6688	607	M	PhD	70	Other	72	92	Full	0	7388	310
6689	607	M	PhD	70	Other	72	93	Full	0	7494	106
6690	607	M	PhD	70	Other	72	94	Full	0	7494	0
6691	607	M	PhD	70	Other	72	95	Full	0	7714	220
6692	608	M	PhD	85	Prof	85	85	Assist	0	3688	NA
6693	608	M	PhD	85	Prof	85	86	Assist	0	3799	111
6694	608	M	PhD	85	Prof	85	87	Assist	0	3990	191
6695	608	M	PhD	85	Prof	85	88	Assist	0	4105	115
6696	608	M	PhD	85	Prof	85	89	Assist	0	4393	288
6697	608	M	PhD	85	Prof	85	90	Assist	0	4800	407
6698	608	M	PhD	85	Prof	85	91	Assoc	0	5242	442
6699	608	M	PhD	85	Prof	85	92	Assoc	0	5551	309
6700	608	M	PhD	85	Prof	85	93	Assoc	0	5712	161
6701	608	M	PhD	85	Prof	85	94	Assoc	0	5712	0
6702	608	M	PhD	85	Prof	85	95	Assoc	0	5794	82
6703	609	F	PhD	73	Prof	78	78	Assist	0	1900	NA
6704	609	F	PhD	73	Prof	78	79	Assist	0	2161	261
6705	609	F	PhD	73	Prof	78	80	Assist	0	2320.896	159.896
6706	609	F	PhD	73	Prof	78	81	Assist	0	2719	398.104
6707	609	F	PhD	73	Prof	78	82	Assist	0	2838	119
6708	609	F	PhD	73	Prof	78	83	Assist	0	3081	243
6709	609	F	PhD	73	Prof	78	84	Assoc	0	3337	256
6710	609	F	PhD	73	Prof	78	85	Assoc	0	3337	0
6711	609	F	PhD	73	Prof	78	86	Assoc	0	3745	408
6712	609	F	PhD	73	Prof	78	87	Assoc	0	3933	188
6713	609	F	PhD	73	Prof	78	88	Assoc	0	4047	114
6714	609	F	PhD	73	Prof	78	89	Assoc	0	4434.328	387.328
6715	609	F	PhD	73	Prof	78	90	Assoc	0	4800	365.672
6716	609	F	PhD	73	Prof	78	91	Assoc	0	5095	295
6717	609	F	PhD	73	Prof	78	92	Assoc	0	5242	147
6718	609	F	PhD	73	Prof	78	93	Assoc	0	5394	152
6719	609	F	PhD	73	Prof	78	94	Assoc	0	5394	0
6720	609	F	PhD	73	Prof	78	95	Assoc	0	5631	237
6721	610	M	PhD	74	Other	88	88	Assoc	0	3658	NA
6722	610	M	PhD	74	Other	88	89	Assoc	0	3970	312
6723	610	M	PhD	74	Other	88	90	Assoc	0	4215	245
6724	610	M	PhD	74	Other	88	91	Full	0	4806	591
6725	610	M	PhD	74	Other	88	92	Full	0	5088	282
6726	610	M	PhD	74	Other	88	93	Full	0	5311	223
6727	610	M	PhD	74	Other	88	94	Full	0	5311	0
6728	610	M	PhD	74	Other	88	95	Full	0	5544	233
6729	611	M	PhD	83	Other	85	85	Assist	0	3152	NA
6730	611	M	PhD	83	Other	85	86	Assist	0	3246	94
6731	611	M	PhD	83	Other	85	87	Assist	0	3409	163
6732	611	M	PhD	83	Other	85	88	Assist	0	3559	150
6733	611	M	PhD	83	Other	85	89	Assist	0	3808	249
6734	611	M	PhD	83	Other	85	90	Assist	0	3986	178
6735	611	M	PhD	83	Other	85	91	Assoc	0	4416	430
6736	611	M	PhD	83	Other	85	92	Assoc	0	4676	260
6737	611	M	PhD	83	Other	85	93	Assoc	0	4812	136
6738	611	M	PhD	83	Other	85	94	Assoc	0	4812	0
6739	611	M	PhD	83	Other	85	95	Assoc	0	5095	283
6740	612	M	PhD	70	Prof	83	83	Assoc	0	3605	NA
6741	612	M	PhD	70	Prof	83	84	Assoc	0	3795	190
6742	612	M	PhD	70	Prof	83	85	Assoc	0	3795	0
6743	612	M	PhD	70	Prof	83	86	Assoc	0	4446	651
6744	612	M	PhD	70	Prof	83	87	Assoc	0	4669	223
6745	612	M	PhD	70	Prof	83	88	Assoc	0	4874	205
6746	612	M	PhD	70	Prof	83	89	Assoc	0	5366	492
6747	612	M	PhD	70	Prof	83	90	Assoc	0	6120	754
6748	612	M	PhD	70	Prof	83	91	Full	0	6684	564
6749	612	M	PhD	70	Prof	83	92	Full	0	7078	394
6750	612	M	PhD	70	Prof	83	93	Full	0	7388	310
6751	612	M	PhD	70	Prof	83	94	Full	0	7388	0
6752	612	M	PhD	70	Prof	83	95	Full	0	7712	324
6753	613	M	PhD	61	Prof	68	76	Full	0	2339	NA
6754	613	M	PhD	61	Prof	68	77	Full	0	2544	205
6755	613	M	PhD	61	Prof	68	78	Full	0	2628	84
6756	613	M	PhD	61	Prof	68	81	Full	0	3369	741
6757	613	M	PhD	61	Prof	68	82	Full	0	3517	148
6758	613	M	PhD	61	Prof	68	83	Full	0	3764	247
6759	613	M	PhD	61	Prof	68	84	Full	0	4018	254
6760	613	M	PhD	61	Prof	68	85	Full	0	4018	0
6761	613	M	PhD	61	Prof	68	86	Full	0	4139	121
6762	613	M	PhD	61	Prof	68	87	Full	0	4347	208
6763	613	M	PhD	61	Prof	68	88	Full	0	4347	0
6764	613	M	PhD	61	Prof	68	89	Full	0	5068	721
6765	613	M	PhD	61	Prof	68	90	Full	0	5617	549
6766	613	M	PhD	61	Prof	68	91	Full	0	5794	177
6767	613	M	PhD	61	Prof	68	92	Full	0	5962	168
6768	613	M	PhD	61	Prof	68	93	Full	0	6135	173
6769	613	M	PhD	61	Prof	68	94	Full	0	6135	0
6770	613	M	PhD	61	Prof	68	95	Full	0	6223	88
6771	614	M	PhD	84	Arts	84	84	Assist	0	2301	NA
6772	614	M	PhD	84	Arts	84	85	Assist	0	2301	0
6773	614	M	PhD	84	Arts	84	86	Assist	0	2696	395
6774	614	M	PhD	84	Arts	84	88	Assist	0	2913	217
6775	614	M	PhD	84	Arts	84	89	Assist	0	3117	204
6776	614	M	PhD	84	Arts	84	90	Assoc	0	3658	541
6777	614	M	PhD	84	Arts	84	91	Assoc	0	4053	395
6778	614	M	PhD	84	Arts	84	92	Assoc	0	4171	118
6779	614	M	PhD	84	Arts	84	93	Assoc	0	4292	121
6780	614	M	PhD	84	Arts	84	94	Assoc	0	4292	0
6781	614	M	PhD	84	Arts	84	95	Assoc	0	4480	188
6782	615	F	PhD	91	Other	95	95	Assist	0	3459	NA
6783	616	M	PhD	68	Arts	73	76	Assoc	1	1743	NA
6784	616	M	PhD	68	Arts	73	77	Assoc	1	2019	276
6785	616	M	PhD	68	Arts	73	78	Assoc	1	2176	157
6786	616	M	PhD	68	Arts	73	79	Assoc	1	2454	278
6787	616	M	PhD	68	Arts	73	80	Assoc	1	2642	188
6788	616	M	PhD	68	Arts	73	81	Assoc	1	3005	363
6789	616	M	PhD	68	Arts	73	82	Assoc	1	3092	87
6790	616	M	PhD	68	Arts	73	83	Assoc	1	3310	218
6791	616	M	PhD	68	Arts	73	84	Full	1	3636	326
6792	616	M	PhD	68	Arts	73	85	Full	1	3636	0
6793	616	M	PhD	68	Arts	73	86	Full	1	4081	445
6794	616	M	PhD	68	Arts	73	87	Full	1	4285	204
6795	616	M	PhD	68	Arts	73	88	Full	1	4473	188
6796	616	M	PhD	68	Arts	73	89	Full	1	4925	452
6797	616	M	PhD	68	Arts	73	90	Full	1	5780	855
6798	616	M	PhD	68	Arts	73	91	Full	0	6223	443
6799	616	M	PhD	68	Arts	73	92	Full	0	6404	181
6800	616	M	PhD	68	Arts	73	93	Full	0	6496	92
6801	616	M	PhD	68	Arts	73	94	Full	0	6496	0
6802	616	M	PhD	68	Arts	73	95	Full	0	6684	188
6803	617	F	PhD	84	Other	84	84	Assist	0	2651	NA
6804	617	F	PhD	84	Other	84	85	Assist	0	2651	0
6805	617	F	PhD	84	Other	84	86	Assist	0	2892	241
6806	617	F	PhD	84	Other	84	87	Assist	0	3038	146
6807	617	F	PhD	84	Other	84	88	Assist	0	3171	133
6808	617	F	PhD	84	Other	84	89	Assist	0	3490	319
6809	617	F	PhD	84	Other	84	90	Assist	0	3653	163
6810	617	F	PhD	84	Other	84	91	Assoc	0	3991	338
6811	617	F	PhD	84	Other	84	92	Assoc	0	4106	115
